condition,model_group,signal,spearman,spearman_min,spearman_max,partial,partial_min,partial_max,auroc
noise(sigma=0.1),unet_lam0,g2,0.7859,0.7745,0.7926,0.8221,0.8136,0.8266,0.8804
noise(sigma=0.1),unet_lam0,g3,0.7175,0.7042,0.7244,0.7654,0.7544,0.7720,0.8436
noise(sigma=0.1),unet_lam0,q,-0.1435,-0.1610,-0.1156,-0.0600,-0.0853,-0.0284,0.4107
noise(sigma=0.1),unet_lam1,g2,,,,,,,0.5000
noise(sigma=0.1),unet_lam1,g3,,,,,,,0.5000
noise(sigma=0.1),unet_lam1w5,dis,0.8932,0.8908,0.8947,0.8877,0.8852,0.8893,0.9315
noise(sigma=0.1),unet_lam1w5,g2,0.6761,0.6393,0.6967,0.6587,0.6193,0.6819,0.8050
noise(sigma=0.1),unet_lam1w5,g3,0.7092,0.6909,0.7185,0.7044,0.6831,0.7177,0.8274
noise(sigma=0.1),unet_lam1w5,q,0.3585,0.3287,0.3958,0.4196,0.4026,0.4422,0.6796
noise(sigma=0.2),unet_lam0,dis,0.9124,0.9113,0.9134,0.9124,0.9111,0.9135,0.9518
noise(sigma=0.2),unet_lam0,g2,0.8675,0.8595,0.8717,0.8839,0.8805,0.8865,0.9312
noise(sigma=0.2),unet_lam0,g3,0.8036,0.7935,0.8095,0.8320,0.8259,0.8369,0.9004
noise(sigma=0.2),unet_lam0,q,-0.0024,-0.0095,0.0086,0.0978,0.0908,0.1103,0.5194
noise(sigma=0.2),unet_lam1,g2,,,,,,,0.5000
noise(sigma=0.2),unet_lam1,g3,,,,,,,0.5000
noise(sigma=0.2),unet_lam1,q,,,,,,,0.5000
noise(sigma=0.2),unet_lam1w5,dis,0.8841,0.8822,0.8861,0.8808,0.8789,0.8829,0.9356
noise(sigma=0.2),unet_lam1w5,g2,0.6827,0.6526,0.7052,0.6720,0.6407,0.6952,0.8327
noise(sigma=0.2),unet_lam1w5,g3,0.7398,0.7260,0.7518,0.7343,0.7182,0.7480,0.8600
noise(sigma=0.2),unet_lam1w5,q,0.3698,0.3514,0.3832,0.4099,0.3995,0.4196,0.6736
noise(sigma=0.3),unet_lam0,dis,0.9444,0.9413,0.9502,0.9427,0.9395,0.9487,0.9737
noise(sigma=0.3),unet_lam0,g2,0.9255,0.9235,0.9266,0.9323,0.9301,0.9335,0.9654
noise(sigma=0.3),unet_lam0,g3,0.8641,0.8574,0.8679,0.8852,0.8833,0.8885,0.9355
noise(sigma=0.3),unet_lam0,q,0.1496,0.1259,0.1634,0.2972,0.2650,0.3206,0.5966
noise(sigma=0.3),unet_lam1,g2,,,,,,,0.5000
noise(sigma=0.3),unet_lam1,g3,,,,,,,0.5000
noise(sigma=0.3),unet_lam1,q,,,,,,,0.5000
noise(sigma=0.3),unet_lam1w5,dis,0.8952,0.8920,0.8997,0.8939,0.8908,0.8981,0.9466
noise(sigma=0.3),unet_lam1w5,g2,0.7312,0.6955,0.7614,0.7434,0.7121,0.7737,0.8648
noise(sigma=0.3),unet_lam1w5,g3,0.8050,0.7849,0.8222,0.8054,0.7886,0.8210,0.8995
noise(sigma=0.3),unet_lam1w5,q,0.3018,0.2525,0.3416,0.3495,0.3083,0.3837,0.6363
noise(sigma=0.5),unet_lam0,dis,0.9304,0.9212,0.9426,0.9217,0.9121,0.9354,0.9694
noise(sigma=0.5),unet_lam0,g2,0.9430,0.9391,0.9488,0.9362,0.9330,0.9425,0.9740
noise(sigma=0.5),unet_lam0,g3,0.9255,0.9210,0.9278,0.9282,0.9254,0.9333,0.9729
noise(sigma=0.5),unet_lam0,q,0.5584,0.5172,0.6111,0.7737,0.7609,0.7972,0.8241
noise(sigma=0.5),unet_lam1,g2,,,,,,,0.5000
noise(sigma=0.5),unet_lam1,g3,,,,,,,0.5000
noise(sigma=0.5),unet_lam1,q,,,,,,,0.5000
noise(sigma=0.5),unet_lam1w5,dis,0.8722,0.8405,0.8964,0.8704,0.8538,0.8849,0.9484
noise(sigma=0.5),unet_lam1w5,g2,0.7122,0.6848,0.7480,0.8001,0.7725,0.8219,0.8418
noise(sigma=0.5),unet_lam1w5,g3,0.7877,0.7693,0.8166,0.8348,0.8116,0.8510,0.8875
noise(sigma=0.5),unet_lam1w5,q,0.0128,-0.0352,0.0627,0.1837,0.1089,0.2811,0.5336
blur(std=0.5),unet_lam0,dis,0.8024,0.7960,0.8101,0.8093,0.8043,0.8154,0.8924
blur(std=0.5),unet_lam0,g2,0.7671,0.7632,0.7691,0.7754,0.7725,0.7790,0.8703
blur(std=0.5),unet_lam0,g3,0.6996,0.6957,0.7017,0.7237,0.7190,0.7278,0.8378
blur(std=0.5),unet_lam0,q,-0.0588,-0.0762,-0.0416,0.0407,0.0094,0.0626,0.4319
blur(std=0.5),unet_lam1,g2,,,,,,,0.5000
blur(std=0.5),unet_lam1,g3,,,,,,,0.5000
blur(std=0.5),unet_lam1w5,dis,0.8704,0.8685,0.8721,0.8508,0.8496,0.8530,0.9428
blur(std=0.5),unet_lam1w5,g2,0.7245,0.7184,0.7288,0.6751,0.6698,0.6854,0.8533
blur(std=0.5),unet_lam1w5,g3,0.7137,0.7050,0.7309,0.6784,0.6690,0.6856,0.8485
blur(std=0.5),unet_lam1w5,q,0.0212,0.0003,0.0424,0.1913,0.1642,0.2168,0.4959
blur(std=1),unet_lam0,dis,0.7138,0.7127,0.7153,0.6593,0.6544,0.6639,0.8614
blur(std=1),unet_lam0,g2,0.6264,0.6156,0.6457,0.5530,0.5396,0.5733,0.8266
blur(std=1),unet_lam0,g3,0.6329,0.6037,0.6545,0.5653,0.5386,0.5863,0.8286
blur(std=1),unet_lam0,q,-0.0726,-0.0846,-0.0592,0.1665,0.1385,0.1969,0.4799
blur(std=1),unet_lam1,g2,,,,,,,0.5000
blur(std=1),unet_lam1,g3,,,,,,,0.5000
blur(std=1),unet_lam1w5,dis,0.5926,0.5738,0.6068,0.2782,0.2616,0.2928,0.7688
blur(std=1),unet_lam1w5,g2,0.6618,0.6368,0.6780,0.4152,0.3893,0.4311,0.8188
blur(std=1),unet_lam1w5,g3,0.6834,0.6667,0.6936,0.4655,0.4584,0.4710,0.8337
blur(std=1),unet_lam1w5,q,0.1059,0.0480,0.1518,0.2135,0.1904,0.2331,0.5709
blur(std=1.5),unet_lam0,dis,0.6686,0.6599,0.6807,0.4627,0.4588,0.4666,0.8050
blur(std=1.5),unet_lam0,g2,0.6115,0.6024,0.6283,0.3270,0.3114,0.3352,0.7722
blur(std=1.5),unet_lam0,g3,0.6110,0.5931,0.6279,0.3412,0.3391,0.3440,0.7738
blur(std=1.5),unet_lam0,q,-0.1267,-0.1612,-0.0975,-0.0349,-0.0473,-0.0273,0.4561
blur(std=1.5),unet_lam1,g2,,,,,,,0.5000
blur(std=1.5),unet_lam1,g3,,,,,,,0.5000
blur(std=1.5),unet_lam1w5,dis,0.6520,0.6433,0.6628,0.1803,0.1715,0.1948,0.7871
blur(std=1.5),unet_lam1w5,g2,0.6869,0.6715,0.7022,0.2378,0.2006,0.2593,0.8073
blur(std=1.5),unet_lam1w5,g3,0.6918,0.6767,0.7042,0.2593,0.2248,0.2820,0.8107
blur(std=1.5),unet_lam1w5,q,0.2527,0.2355,0.2656,0.1089,0.0877,0.1359,0.5936
blur(std=2),unet_lam0,dis,0.7151,0.7060,0.7274,0.3379,0.3290,0.3429,0.8116
blur(std=2),unet_lam0,g2,0.6931,0.6732,0.7159,0.2344,0.2164,0.2680,0.7885
blur(std=2),unet_lam0,g3,0.6790,0.6562,0.7013,0.1981,0.1865,0.2135,0.7829
